plan_enc,zone_enc,claim_history,policy_year,heat_addon,monthly_earnings,daily_hours,veh_enc,plat_enc,disruption_days_hist,zone_factor,claim_factor,loyalty_factor,base_premium,final_premium,raw_plan,raw_risk_zone,raw_vehicle_type,raw_platform
0,1,2,2,0,34352.2650110697,9.199711446222121,0,3,13,1.0,1.15,0.95,399.0,935.19,SAATHI,MODERATE,two_wheeler,Blinkit
1,2,0,1,0,21188.27468929249,5.2403329338219535,0,3,21,1.25,0.9,1.0,699.0,1142.32,RAKSHAK,HIGH,two_wheeler,Blinkit
0,2,0,3,0,39027.05125094156,7.658121292909828,0,3,5,1.25,0.9,0.9,399.0,771.37,SAATHI,HIGH,two_wheeler,Blinkit
0,1,0,1,1,32008.66291703866,4.328540134143006,0,2,23,1.0,0.9,1.0,399.0,881.63,SAATHI,MODERATE,two_wheeler,Zepto
0,0,0,2,0,37625.984373541454,7.5388178378488355,3,2,21,0.85,0.9,0.95,399.0,762.03,SAATHI,SAFE,ev_two_wheeler,Zepto
1,1,0,2,0,32441.10086373092,4.38172902153319,0,3,15,1.0,0.9,0.95,699.0,947.81,RAKSHAK,MODERATE,two_wheeler,Blinkit
0,0,0,1,0,25257.209581855837,5.3856149592801215,3,0,4,0.85,0.9,1.0,399.0,466.42,SAATHI,SAFE,ev_two_wheeler,Zomato
1,1,0,1,1,26029.116749627257,8.3150195872005,0,1,12,1.0,0.9,1.0,699.0,1057.57,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,2,0,1,1,34977.905320830745,9.007517360812582,0,1,0,1.25,0.9,1.0,699.0,1162.87,RAKSHAK,HIGH,two_wheeler,Swiggy
2,2,0,1,0,29311.108761461,6.692433719109812,0,0,7,1.25,0.9,1.0,999.0,1455.09,SURAKSHA,HIGH,two_wheeler,Zomato
1,0,1,2,1,32581.989226508802,10.42784744307879,0,1,24,0.85,1.0,0.95,699.0,1212.13,RAKSHAK,SAFE,two_wheeler,Swiggy
1,1,2,1,0,33739.56290077591,6.726428322024143,0,2,4,1.0,1.15,1.0,699.0,1115.41,RAKSHAK,MODERATE,two_wheeler,Zepto
1,0,0,3,0,37074.65039789361,7.113613429873305,0,0,11,0.85,0.9,0.9,699.0,864.35,RAKSHAK,SAFE,two_wheeler,Zomato
2,2,2,3,0,29691.44194075438,7.587564175826558,0,3,2,1.25,1.15,0.9,999.0,1573.83,SURAKSHA,HIGH,two_wheeler,Blinkit
0,2,0,1,0,27386.808705064595,7.532244010987016,2,2,22,1.25,0.9,1.0,399.0,876.19,SAATHI,HIGH,bicycle,Zepto
1,1,1,2,0,14354.990571219929,9.60775305167296,3,0,9,1.0,1.0,0.95,699.0,911.2,RAKSHAK,MODERATE,ev_two_wheeler,Zomato
0,1,0,1,1,38522.960166748046,11.888008510582967,0,3,3,1.0,0.9,1.0,399.0,850.2,SAATHI,MODERATE,two_wheeler,Blinkit
1,1,0,1,1,15113.529504572238,7.941000834326873,0,3,12,1.0,0.9,1.0,699.0,1003.92,RAKSHAK,MODERATE,two_wheeler,Blinkit
1,1,1,2,1,22496.376226663713,6.285696690254886,2,2,23,1.0,1.0,0.95,699.0,1012.86,RAKSHAK,MODERATE,bicycle,Zepto
1,1,2,1,1,26775.631054416393,11.943718368954404,2,0,4,1.0,1.15,1.0,699.0,1141.02,RAKSHAK,MODERATE,bicycle,Zomato
0,0,0,2,0,37232.424293747696,4.363571042731663,0,2,11,0.85,0.9,0.95,399.0,620.45,SAATHI,SAFE,two_wheeler,Zepto
2,0,1,1,0,24983.5553383195,6.8268178242084225,0,3,17,0.85,1.0,1.0,999.0,1209.6,SURAKSHA,SAFE,two_wheeler,Blinkit
0,1,0,3,0,16553.27430165696,11.28741747595074,0,0,5,1.0,0.9,0.9,399.0,547.92,SAATHI,MODERATE,two_wheeler,Zomato
2,1,0,3,0,16615.359311836026,7.2900409326829525,0,1,21,1.0,0.9,0.9,999.0,1187.3,SURAKSHA,MODERATE,two_wheeler,Swiggy
1,2,0,1,0,12382.815015155924,4.6028724828196985,2,0,16,1.25,0.9,1.0,699.0,882.06,RAKSHAK,HIGH,bicycle,Zomato
1,1,1,3,1,18925.746848809533,7.604353082480748,3,2,13,1.0,1.0,0.9,699.0,952.38,RAKSHAK,MODERATE,ev_two_wheeler,Zepto
0,2,0,1,0,26568.615625306214,10.178547133885115,2,1,17,1.25,0.9,1.0,399.0,785.59,SAATHI,HIGH,bicycle,Swiggy
2,1,1,2,0,23775.0018026221,10.277346111554476,0,1,13,1.0,1.0,0.95,999.0,1316.67,SURAKSHA,MODERATE,two_wheeler,Swiggy
0,0,1,2,0,32339.11691420639,8.379570455192892,0,1,0,0.85,1.0,0.95,399.0,605.65,SAATHI,SAFE,two_wheeler,Swiggy
1,0,1,2,0,35578.55962052387,10.15134193052318,0,2,19,0.85,1.0,0.95,699.0,1129.7,RAKSHAK,SAFE,two_wheeler,Zepto
1,0,0,2,0,28373.450966576303,7.202403911282251,0,3,15,0.85,0.9,0.95,699.0,898.22,RAKSHAK,SAFE,two_wheeler,Blinkit
1,0,2,2,1,28854.191075146886,5.790792527250565,0,2,20,0.85,1.15,0.95,699.0,1137.5,RAKSHAK,SAFE,two_wheeler,Zepto
0,0,0,3,0,21242.78637268435,6.572662117440232,0,0,24,0.85,0.9,0.9,399.0,684.29,SAATHI,SAFE,two_wheeler,Zomato
1,1,2,1,0,34573.63583420572,9.986077523069266,0,2,19,1.0,1.15,1.0,699.0,1334.48,RAKSHAK,MODERATE,two_wheeler,Zepto
1,1,1,1,0,15727.274000449392,9.497324043226648,0,3,22,1.0,1.0,1.0,699.0,1088.06,RAKSHAK,MODERATE,two_wheeler,Blinkit
1,1,0,1,0,32647.345770626936,5.4582710278076645,0,1,6,1.0,0.9,1.0,699.0,884.91,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,0,0,1,0,25428.298849119004,8.673595877713353,3,3,21,0.85,0.9,1.0,699.0,957.27,RAKSHAK,SAFE,ev_two_wheeler,Blinkit
1,1,0,1,1,29011.54622422004,5.954825243717236,0,2,12,1.0,0.9,1.0,699.0,1051.7,RAKSHAK,MODERATE,two_wheeler,Zepto
0,0,0,1,0,16854.460668253134,11.174123397011401,0,3,22,0.85,0.9,1.0,399.0,762.7,SAATHI,SAFE,two_wheeler,Blinkit
0,0,0,1,1,36234.19952503145,10.536576567594238,0,3,16,0.85,0.9,1.0,399.0,957.72,SAATHI,SAFE,two_wheeler,Blinkit
2,1,0,2,0,21063.018619318824,7.403491508931334,0,1,0,1.0,0.9,0.95,999.0,1008.86,SURAKSHA,MODERATE,two_wheeler,Swiggy
1,1,0,2,0,25471.92285193489,8.260715460412687,1,1,0,1.0,0.9,0.95,699.0,837.94,RAKSHAK,MODERATE,three_wheeler,Swiggy
1,1,1,1,0,33286.38007691123,8.765109924862754,0,3,23,1.0,1.0,1.0,699.0,1203.12,RAKSHAK,MODERATE,two_wheeler,Blinkit
1,1,1,3,0,32464.289305702037,11.506723654568303,0,0,11,1.0,1.0,0.9,699.0,1107.65,RAKSHAK,MODERATE,two_wheeler,Zomato
1,0,1,1,0,16599.442342067803,10.516597761851056,2,2,13,0.85,1.0,1.0,699.0,828.55,RAKSHAK,SAFE,bicycle,Zepto
1,0,1,1,0,37190.688468180844,8.9928123534547,3,0,0,0.85,1.0,1.0,699.0,881.99,RAKSHAK,SAFE,ev_two_wheeler,Zomato
0,2,0,1,0,24082.788007820393,6.662526287299874,0,1,18,1.25,0.9,1.0,399.0,872.7,SAATHI,HIGH,two_wheeler,Swiggy
1,0,0,2,0,39935.39324586761,10.01922496031058,2,0,4,0.85,0.9,0.95,699.0,803.44,RAKSHAK,SAFE,bicycle,Zomato
0,1,0,3,0,35700.66416856651,5.019909298655859,0,1,23,1.0,0.9,0.9,399.0,834.89,SAATHI,MODERATE,two_wheeler,Swiggy
1,1,1,2,0,31430.5564450788,8.34179554678077,0,3,10,1.0,1.0,0.95,699.0,1071.88,RAKSHAK,MODERATE,two_wheeler,Blinkit
2,0,0,3,0,28414.43529647032,8.047109431075729,0,2,24,0.85,0.9,0.9,999.0,1213.02,SURAKSHA,SAFE,two_wheeler,Zepto
0,1,0,2,1,31802.681760775162,5.220312343314091,0,3,8,1.0,0.9,0.95,399.0,750.8,SAATHI,MODERATE,two_wheeler,Blinkit
2,2,0,1,0,35449.74209206978,6.6571713012395115,0,1,21,1.25,0.9,1.0,999.0,1619.84,SURAKSHA,HIGH,two_wheeler,Swiggy
1,1,1,1,0,28904.20288844389,4.914138400445502,0,0,19,1.0,1.0,1.0,699.0,1117.1,RAKSHAK,MODERATE,two_wheeler,Zomato
1,0,0,1,1,18950.340397200252,8.621055632732379,1,0,19,0.85,0.9,1.0,699.0,1053.59,RAKSHAK,SAFE,three_wheeler,Zomato
1,2,0,1,0,26424.863107390753,11.80433052546205,0,2,8,1.25,0.9,1.0,699.0,1163.14,RAKSHAK,HIGH,two_wheeler,Zepto
0,2,0,1,0,34393.89661807954,6.795095992394664,0,0,16,1.25,0.9,1.0,399.0,864.26,SAATHI,HIGH,two_wheeler,Zomato
0,1,0,2,0,26964.764955202914,7.848703587100688,0,1,5,1.0,0.9,0.95,399.0,604.92,SAATHI,MODERATE,two_wheeler,Swiggy
1,0,0,2,0,12710.817958489657,5.249220778929523,2,1,17,0.85,0.9,0.95,699.0,664.63,RAKSHAK,SAFE,bicycle,Swiggy
2,1,0,2,0,14915.040295568067,10.399328682985516,0,2,2,1.0,0.9,0.95,999.0,1049.03,SURAKSHA,MODERATE,two_wheeler,Zepto
1,2,2,3,0,30706.383823978093,5.639874363326568,3,3,22,1.25,1.15,0.9,699.0,1361.24,RAKSHAK,HIGH,ev_two_wheeler,Blinkit
2,0,1,1,1,30001.91578119909,9.631569081108076,0,2,0,0.85,1.0,1.0,999.0,1183.73,SURAKSHA,SAFE,two_wheeler,Zepto
0,0,1,1,0,22157.221050646473,10.888544159797773,0,3,2,0.85,1.0,1.0,399.0,624.4,SAATHI,SAFE,two_wheeler,Blinkit
2,1,0,3,0,17098.99988700433,7.878226937202769,0,1,16,1.0,0.9,0.9,999.0,1143.24,SURAKSHA,MODERATE,two_wheeler,Swiggy
1,0,0,1,1,31354.212013070322,9.46547085156385,0,2,5,0.85,0.9,1.0,699.0,907.12,RAKSHAK,SAFE,two_wheeler,Zepto
2,0,0,1,0,32165.67228570428,4.852629841029395,0,1,21,0.85,0.9,1.0,999.0,1217.01,SURAKSHA,SAFE,two_wheeler,Swiggy
1,1,1,1,0,23817.009667419246,6.830971012489996,0,0,21,1.0,1.0,1.0,699.0,1142.72,RAKSHAK,MODERATE,two_wheeler,Zomato
1,0,0,3,0,37634.382964173594,9.772262888975245,0,1,7,0.85,0.9,0.9,699.0,878.05,RAKSHAK,SAFE,two_wheeler,Swiggy
1,2,0,2,0,35562.83048868121,10.771262794516458,1,0,12,1.25,0.9,0.95,699.0,1346.79,RAKSHAK,HIGH,three_wheeler,Zomato
0,1,0,2,0,31275.26709997661,7.47861870882997,0,0,6,1.0,0.9,0.95,399.0,677.56,SAATHI,MODERATE,two_wheeler,Zomato
2,1,0,2,1,32502.296819467712,10.452489182891597,0,0,22,1.0,0.9,0.95,999.0,1487.35,SURAKSHA,MODERATE,two_wheeler,Zomato
1,1,0,1,1,38433.661511225175,4.315414490948047,3,1,9,1.0,0.9,1.0,699.0,984.6,RAKSHAK,MODERATE,ev_two_wheeler,Swiggy
1,0,2,3,1,25277.998066408985,10.896341207914507,1,2,6,0.85,1.15,0.9,699.0,1137.25,RAKSHAK,SAFE,three_wheeler,Zepto
1,1,0,1,0,14154.689645617857,9.570310207025118,0,1,7,1.0,0.9,1.0,699.0,805.74,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,2,0,2,1,29244.16926910453,5.86367579802907,0,1,22,1.25,0.9,0.95,699.0,1245.18,RAKSHAK,HIGH,two_wheeler,Swiggy
1,2,0,3,0,39942.15509493345,6.805694523613681,0,0,16,1.25,0.9,0.9,699.0,1182.64,RAKSHAK,HIGH,two_wheeler,Zomato
1,2,0,1,0,32503.610601170065,4.026770896343834,3,1,12,1.25,0.9,1.0,699.0,1018.82,RAKSHAK,HIGH,ev_two_wheeler,Swiggy
1,0,0,1,1,13262.818962169049,4.875740789432921,0,1,24,0.85,0.9,1.0,699.0,914.59,RAKSHAK,SAFE,two_wheeler,Swiggy
2,1,2,3,0,37304.27108090757,11.913479278506871,0,1,6,1.0,1.15,0.9,999.0,1499.73,SURAKSHA,MODERATE,two_wheeler,Swiggy
2,0,0,3,0,13314.470000138765,7.0727248919299965,3,2,8,0.85,0.9,0.9,999.0,855.67,SURAKSHA,SAFE,ev_two_wheeler,Zepto
1,0,0,2,0,19286.534302642765,8.121983394517807,3,0,17,0.85,0.9,0.95,699.0,823.16,RAKSHAK,SAFE,ev_two_wheeler,Zomato
1,0,1,2,0,37057.80035437952,10.88101453134339,2,1,10,0.85,1.0,0.95,699.0,929.46,RAKSHAK,SAFE,bicycle,Swiggy
0,2,0,1,1,32585.954326656676,6.251127684620214,3,3,14,1.25,0.9,1.0,399.0,902.18,SAATHI,HIGH,ev_two_wheeler,Blinkit
0,1,0,1,0,14131.664065728404,10.809655312390149,0,1,7,1.0,0.9,1.0,399.0,613.43,SAATHI,MODERATE,two_wheeler,Swiggy
2,1,0,1,1,34327.928604993984,9.267614677267403,0,3,0,1.0,0.9,1.0,999.0,1299.84,SURAKSHA,MODERATE,two_wheeler,Blinkit
0,0,1,2,0,33076.06590761396,5.26884084234459,0,0,10,0.85,1.0,0.95,399.0,651.14,SAATHI,SAFE,two_wheeler,Zomato
2,0,1,1,1,35299.756982816776,8.05974187008669,2,0,6,0.85,1.0,1.0,999.0,1193.64,SURAKSHA,SAFE,bicycle,Zomato
0,0,1,1,0,27119.590632043954,10.23876316120915,0,0,5,0.85,1.0,1.0,399.0,690.54,SAATHI,SAFE,two_wheeler,Zomato
1,0,2,2,0,20426.979874510856,9.665376709162253,2,1,21,0.85,1.15,0.95,699.0,991.92,RAKSHAK,SAFE,bicycle,Swiggy
1,1,0,3,1,39128.57994799936,9.997214653943399,0,3,2,1.0,0.9,0.9,699.0,975.54,RAKSHAK,MODERATE,two_wheeler,Blinkit
0,2,1,2,0,19661.546655886646,11.97699600126169,0,3,16,1.25,1.0,0.95,399.0,937.22,SAATHI,HIGH,two_wheeler,Blinkit
0,2,1,1,0,31053.980458091966,9.236089714249083,0,0,2,1.25,1.0,1.0,399.0,812.16,SAATHI,HIGH,two_wheeler,Zomato
1,1,0,1,0,32283.834833195277,9.966696096247714,0,0,2,1.0,0.9,1.0,699.0,948.23,RAKSHAK,MODERATE,two_wheeler,Zomato
0,1,0,2,0,17703.634979735678,4.729315923249533,0,2,7,1.0,0.9,0.95,399.0,515.6,SAATHI,MODERATE,two_wheeler,Zepto
1,1,2,3,0,24938.7241414385,4.009854681331407,0,0,6,1.0,1.15,0.9,699.0,926.36,RAKSHAK,MODERATE,two_wheeler,Zomato
0,1,0,1,0,21125.912990658097,8.722111511084979,0,1,7,1.0,0.9,1.0,399.0,615.39,SAATHI,MODERATE,two_wheeler,Swiggy
0,0,2,2,0,33197.65949311425,11.621189104309735,0,1,8,0.85,1.15,0.95,399.0,757.29,SAATHI,SAFE,two_wheeler,Swiggy
0,1,0,2,0,25505.978683444562,5.682796639350949,0,0,0,1.0,0.9,0.95,399.0,493.32,SAATHI,MODERATE,two_wheeler,Zomato
1,1,0,3,0,21018.65166214139,11.819731090518285,0,0,13,1.0,0.9,0.9,699.0,967.41,RAKSHAK,MODERATE,two_wheeler,Zomato
1,2,0,2,0,12884.412055117977,11.489697969949518,0,3,6,1.25,0.9,0.95,699.0,953.58,RAKSHAK,HIGH,two_wheeler,Blinkit
2,2,0,3,0,37054.86636969478,8.38073900922989,0,3,21,1.25,0.9,0.9,999.0,1589.07,SURAKSHA,HIGH,two_wheeler,Blinkit
1,1,0,2,0,30208.23720445671,7.834231428610298,0,1,18,1.0,0.9,0.95,699.0,1026.21,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,1,0,2,0,27189.40180014229,7.946214774270397,0,1,9,1.0,0.9,0.95,699.0,908.85,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,0,0,1,1,32360.733953456624,9.941652169599848,0,2,19,0.85,0.9,1.0,699.0,1170.06,RAKSHAK,SAFE,two_wheeler,Zepto
1,1,0,1,0,25626.73035989168,10.987385904653284,0,2,1,1.0,0.9,1.0,699.0,924.8,RAKSHAK,MODERATE,two_wheeler,Zepto
1,1,2,1,0,29683.686162590577,9.864904179322249,3,1,2,1.0,1.15,1.0,699.0,1060.71,RAKSHAK,MODERATE,ev_two_wheeler,Swiggy
1,1,0,3,0,18922.470083288958,10.96599921018009,0,1,14,1.0,0.9,0.9,699.0,979.6,RAKSHAK,MODERATE,two_wheeler,Swiggy
1,1,0,1,1,19227.73611563157,9.253893316330338,0,2,0,1.0,0.9,1.0,699.0,871.31,RAKSHAK,MODERATE,two_wheeler,Zepto
2,1,0,1,0,30742.93124086212,5.1660525459580136,0,2,4,1.0,0.9,1.0,999.0,1145.03,SURAKSHA,MODERATE,two_wheeler,Zepto
0,1,0,1,0,21988.497485120046,8.268095402397565,1,3,16,1.0,0.9,1.0,399.0,791.92,SAATHI,MODERATE,three_wheeler,Blinkit
1,2,0,3,0,18471.665547974106,4.413574697932216,0,0,0,1.25,0.9,0.9,699.0,794.53,RAKSHAK,HIGH,two_wheeler,Zomato
0,1,0,2,0,23126.611677003228,7.839176652736586,3,0,10,1.0,0.9,0.95,399.0,614.64,SAATHI,MODERATE,ev_two_wheeler,Zomato
0,1,0,1,0,31731.06135662611,5.614827616983587,0,1,22,1.0,0.9,1.0,399.0,839.25,SAATHI,MODERATE,two_wheeler,Swiggy
0,0,0,3,0,31393.526662332606,10.70492231718488,1,0,10,0.85,0.9,0.9,399.0,749.19,SAATHI,SAFE,three_wheeler,Zomato
1,2,0,2,1,28817.067191294613,11.52700285070452,0,3,13,1.25,0.9,0.95,699.0,1329.22,RAKSHAK,HIGH,two_wheeler,Blinkit
1,1,0,2,0,36260.28269077407,11.946695498869028,0,3,12,1.0,0.9,0.95,699.0,1119.18,RAKSHAK,MODERATE,two_wheeler,Blinkit
1,2,2,1,1,36580.952453157166,6.537565734123189,0,1,12,1.25,1.15,1.0,699.0,1523.09,RAKSHAK,HIGH,two_wheeler,Swiggy
2,0,0,2,0,27776.28996575685,7.043357633862382,0,0,24,0.85,0.9,0.95,999.0,1243.69,SURAKSHA,SAFE,two_wheeler,Zomato
1,0,1,2,0,22634.001845018436,10.906669196574601,0,3,15,0.85,1.0,0.95,699.0,1039.8,RAKSHAK,SAFE,two_wheeler,Blinkit
2,2,0,1,0,26940.871308352594,8.863240742347557,2,0,15,1.25,0.9,1.0,999.0,1477.28,SURAKSHA,HIGH,bicycle,Zomato
1,1,0,2,1,18817.50430413638,11.416276358370453,2,2,14,1.0,0.9,0.95,699.0,967.64,RAKSHAK,MODERATE,bicycle,Zepto
0,1,0,1,0,20604.119017936024,10.424207182661307,0,1,2,1.0,0.9,1.0,399.0,575.69,SAATHI,MODERATE,two_wheeler,Swiggy
1,0,0,1,0,17080.273735477553,8.201307069336481,3,1,6,0.85,0.9,1.0,699.0,721.49,RAKSHAK,SAFE,ev_two_wheeler,Swiggy
0,1,2,1,1,27406.34318037533,4.347300262838553,0,3,9,1.0,1.15,1.0,399.0,794.23,SAATHI,MODERATE,two_wheeler,Blinkit
1,1,0,3,1,21895.798620476107,5.8949644717958565,0,3,4,1.0,0.9,0.9,699.0,878.52,RAKSHAK,MODERATE,two_wheeler,Blinkit
1,1,1,1,0,24649.495004642413,8.692867705403792,3,2,14,1.0,1.0,1.0,699.0,1060.62,RAKSHAK,MODERATE,ev_two_wheeler,Zepto
1,1,1,2,0,18494.51869124731,7.127247967244117,0,0,24,1.0,1.0,0.95,699.0,1073.54,RAKSHAK,MODERATE,two_wheeler,Zomato
1,2,1,1,0,32286.471839161306,4.1265687341246595,0,0,23,1.25,1.0,1.0,699.0,1344.8,RAKSHAK,HIGH,two_wheeler,Zomato
0,0,0,1,0,21619.693293719713,8.937246267165175,0,0,12,0.85,0.9,1.0,399.0,681.65,SAATHI,SAFE,two_wheeler,Zomato
1,0,1,1,0,31043.69407089664,5.846633513232097,2,2,2,0.85,1.0,1.0,699.0,685.94,RAKSHAK,SAFE,bicycle,Zepto
2,1,0,3,0,31320.13694297864,5.607469509272452,0,1,15,1.0,0.9,0.9,999.0,1158.66,SURAKSHA,MODERATE,two_wheeler,Swiggy
1,1,0,2,0,37960.97894542468,5.877136654843628,2,3,18,1.0,0.9,0.95,699.0,976.7,RAKSHAK,MODERATE,bicycle,Blinkit
2,1,1,3,0,26191.476090973512,5.274432164951842,0,1,13,1.0,1.0,0.9,999.0,1229.62,SURAKSHA,MODERATE,two_wheeler,Swiggy
0,0,0,3,0,20554.680698424658,7.175852136594267,0,0,22,0.85,0.9,0.9,399.0,697.89,SAATHI,SAFE,two_wheeler,Zomato
1,1,2,1,1,22657.452217344242,11.023794563560557,0,3,13,1.0,1.15,1.0,699.0,1263.32,RAKSHAK,MODERATE,two_wheeler,Blinkit
2,1,0,1,0,18261.204165896714,11.658583103156698,0,0,17,1.0,0.9,1.0,999.0,1349.51,SURAKSHA,MODERATE,two_wheeler,Zomato
0,2,0,3,1,20890.880540548635,11.622380220810355,3,1,5,1.25,0.9,0.9,399.0,760.43,SAATHI,HIGH,ev_two_wheeler,Swiggy
0,0,0,1,0,33748.261653207395,4.97628041699516,0,1,12,0.85,0.9,1.0,399.0,676.89,SAATHI,SAFE,two_wheeler,Swiggy
0,0,0,1,0,24874.411865540966,4.465310364043806,0,2,10,0.85,0.9,1.0,399.0,542.06,SAATHI,SAFE,two_wheeler,Zepto
1,1,0,1,0,20491.704131892675,4.8083664880851735,0,2,15,1.0,0.9,1.0,699.0,932.63,RAKSHAK,MODERATE,two_wheeler,Zepto
1,0,0,2,0,23930.3347489304,5.045683013921596,0,3,19,0.85,0.9,0.95,699.0,906.39,RAKSHAK,SAFE,two_wheeler,Blinkit
1,1,0,3,0,33540.53702195751,4.088250115429178,0,2,1,1.0,0.9,0.9,699.0,762.46,RAKSHAK,MODERATE,two_wheeler,Zepto
1,1,0,1,0,18753.640812787162,11.80699003928043,0,3,17,1.0,0.9,1.0,699.0,1033.11,RAKSHAK,MODERATE,two_wheeler,Blinkit
0,0,0,1,1,14746.312261958848,7.9059290961742255,0,0,3,0.85,0.9,1.0,399.0,522.58,SAATHI,SAFE,two_wheeler,Zomato
1,2,0,2,1,38749.37122210999,10.29522709004236,0,0,8,1.25,0.9,0.95,699.0,1287.8,RAKSHAK,HIGH,two_wheeler,Zomato
2,2,1,1,1,24921.369009492555,9.097611814466244,0,0,1,1.25,1.0,1.0,999.0,1533.36,SURAKSHA,HIGH,two_wheeler,Zomato
0,2,0,2,0,31046.377817833894,4.333383204819074,0,0,24,1.25,0.9,0.95,399.0,835.42,SAATHI,HIGH,two_wheeler,Zomato
1,1,0,3,0,21891.039438057796,6.372284650301242,2,2,10,1.0,0.9,0.9,699.0,713.49,RAKSHAK,MODERATE,bicycle,Zepto
1,1,0,1,0,39100.08097566085,6.363558219819362,2,3,7,1.0,0.9,1.0,699.0,923.04,RAKSHAK,MODERATE,bicycle,Blinkit
1,0,0,1,0,38875.14250612601,7.82604235660739,0,0,17,0.85,0.9,1.0,699.0,1026.73,RAKSHAK,SAFE,two_wheeler,Zomato
1,0,1,3,0,15586.6808982536,6.706140047955987,0,3,7,0.85,1.0,0.9,699.0,708.29,RAKSHAK,SAFE,two_wheeler,Blinkit
