distance_to_zone_km,claim_frequency_30d,avg_claim_amount_30d,hours_since_last_claim,device_id_match,gps_trajectory_score,event_cluster_count,is_anomaly
0.94,0,879.02,293,1,0.89,5,0
0.02,0,354.58,219,1,0.96,23,0
0.28,0,644.65,194,1,0.87,14,0
0.54,1,975.89,648,1,0.78,16,0
0.14,0,337.36,644,1,0.94,20,0
1.94,0,1049.97,571,1,0.84,11,0
0.29,0,1177.58,653,1,0.86,20,0
1.2,0,299.03,706,1,0.83,17,0
0.04,0,219.24,86,1,0.85,15,0
0.97,0,215.37,644,1,1.0,20,0
0.58,0,951.97,677,1,0.81,14,0
0.96,0,988.92,661,1,0.79,14,0
0.49,1,850.41,526,1,0.93,5,0
0.32,1,273.98,447,1,0.94,6,0
0.14,0,1174.19,575,1,0.87,22,0
0.39,1,1032.92,435,1,0.77,4,0
0.53,0,380.55,317,1,0.98,3,0
0.64,0,295.83,126,1,0.84,22,0
1.28,1,647.85,221,1,0.91,18,0
0.33,0,858.62,648,1,0.99,23,0
0.72,0,888.66,333,1,0.85,4,0
2.47,2,557.0,233,1,0.96,20,0
0.11,2,641.81,631,1,0.95,24,0
1.14,0,882.42,490,1,0.82,24,0
1.36,0,264.67,695,1,0.89,6,0
0.35,0,571.89,643,0,0.93,19,0
0.89,0,863.6,529,1,0.97,8,0
2.66,0,1009.13,642,1,0.8,9,0
0.41,0,828.16,445,1,0.86,23,0
0.11,0,937.86,529,1,0.84,17,0
0.34,0,403.39,606,1,0.98,23,0
0.05,0,934.2,70,1,0.87,10,0
2.18,0,1094.79,667,1,0.92,22,0
1.42,0,911.62,343,1,0.78,21,0
0.07,1,231.65,165,1,0.95,3,0
1.61,0,1052.99,124,1,0.93,22,0
0.02,1,820.19,213,1,0.9,5,0
0.37,1,409.6,664,1,0.93,6,0
0.02,1,1031.72,170,1,0.83,13,0
2.08,0,1199.2,578,1,0.94,8,0
1.3,1,534.35,408,1,0.91,23,0
0.09,1,668.32,236,1,0.98,19,0
0.18,2,216.09,695,1,0.78,18,0
0.31,0,333.06,344,1,0.91,13,0
1.35,1,332.51,170,1,0.8,17,0
0.29,0,772.49,496,1,0.84,5,0
2.24,0,311.12,400,1,0.98,11,0
0.05,0,584.04,552,1,0.98,10,0
0.93,1,226.56,103,1,0.77,10,0
0.02,0,557.83,242,1,0.94,5,0
0.33,0,972.03,317,1,0.84,4,0
0.99,0,497.18,102,1,0.89,18,0
0.13,0,489.1,456,1,0.97,23,0
2.02,0,294.55,495,1,0.98,23,0
1.07,1,929.11,709,1,0.84,5,0
0.84,0,990.33,587,1,0.78,9,0
0.89,1,867.39,292,1,0.87,15,0
0.22,0,702.57,664,1,0.94,8,0
1.02,0,902.94,608,1,0.94,8,0
0.73,1,338.61,256,1,0.83,21,0
0.25,0,698.74,393,1,0.78,5,0
0.1,0,255.47,312,1,0.76,22,0
0.61,0,567.57,671,1,0.95,21,0
0.43,0,1118.43,508,1,0.94,9,0
0.84,1,1139.73,545,1,1.0,8,0
0.08,0,455.77,302,1,0.82,7,0
0.09,0,483.01,76,1,0.95,16,0
1.1,0,902.39,251,1,0.82,14,0
0.06,0,679.89,176,1,0.85,7,0
0.65,1,283.2,275,1,0.81,16,0
0.4,0,1027.02,630,1,0.96,21,0
0.28,1,314.06,585,1,0.89,23,0
0.1,0,439.19,172,1,0.97,14,0
0.03,0,1120.14,502,1,0.8,10,0
0.31,0,611.07,426,1,0.85,24,0
0.99,0,1086.25,427,1,0.79,23,0
0.93,0,733.5,513,1,0.76,3,0
0.63,1,460.93,293,1,0.9,3,0
0.9,1,515.74,101,1,0.94,20,0
1.68,0,258.89,281,1,0.96,10,0
0.14,1,771.59,261,1,0.92,9,0
1.18,0,472.88,154,1,0.77,7,0
0.01,0,299.27,76,1,0.78,15,0
0.74,0,926.12,605,0,0.83,4,0
2.01,1,366.44,542,1,0.84,14,0
0.12,2,347.2,636,1,0.77,23,0
0.51,2,447.29,538,1,0.9,7,0
0.01,0,203.43,565,1,0.78,9,0
1.11,0,567.05,456,1,0.82,20,0
0.74,1,753.45,408,1,0.76,8,0
0.65,0,339.63,314,1,0.78,3,0
0.01,0,560.96,114,1,0.91,13,0
1.38,1,664.07,571,1,0.89,15,0
1.67,0,325.8,149,1,0.91,21,0
0.18,0,252.67,579,1,0.86,8,0
3.5,2,804.95,452,1,0.89,8,0
1.91,0,455.46,569,1,0.98,24,0
1.33,0,1108.03,100,1,0.91,5,0
0.16,2,278.5,460,1,0.76,7,0
0.29,1,679.1,694,1,0.84,17,0
0.14,0,505.82,370,1,0.94,21,0
0.18,0,287.2,574,1,0.89,12,0
2.2,0,811.04,388,1,0.89,5,0
0.62,2,1094.21,602,1,0.9,17,0
0.53,0,251.94,144,1,0.85,8,0
1.87,0,782.65,493,1,0.84,20,0
0.18,0,635.13,625,1,0.77,3,0
0.57,0,272.93,643,1,0.88,11,0
1.25,1,664.75,479,1,0.95,14,0
0.17,1,533.88,479,1,0.95,17,0
2.58,2,1102.37,230,1,0.89,16,0
2.14,0,208.03,521,1,0.77,9,0
1.66,0,309.1,718,1,0.85,13,0
0.22,1,271.89,503,1,0.95,19,0
0.47,0,1165.37,484,1,0.98,4,0
0.61,0,522.67,614,1,0.93,4,0
0.69,0,1045.17,458,1,0.88,17,0
0.51,1,274.48,547,1,0.78,22,0
0.84,1,984.05,143,1,0.89,7,0
1.63,0,384.81,508,1,0.97,17,0
0.44,0,566.22,559,1,0.81,23,0
0.06,0,399.56,246,1,0.87,8,0
1.8,1,471.71,497,1,0.84,9,0
0.18,2,624.21,310,1,0.93,10,0
0.61,1,401.71,441,1,0.99,13,0
0.27,0,939.91,247,1,0.84,15,0
0.42,0,659.9,339,1,0.81,4,0
0.09,0,245.52,295,1,0.87,21,0
0.68,0,226.81,386,1,0.92,21,0
0.08,0,671.8,280,1,0.95,12,0
0.32,0,641.07,226,1,0.95,19,0
1.56,0,923.96,412,1,0.83,23,0
0.24,0,383.96,672,1,0.8,14,0
0.43,1,955.81,269,1,0.88,23,0
1.42,0,1115.32,194,1,0.84,8,0
0.7,0,724.3,444,1,1.0,24,0
0.05,0,344.87,386,1,0.88,11,0
0.0,0,889.61,49,1,0.82,16,0
0.55,0,1119.33,298,1,0.79,5,0
0.43,0,842.84,677,1,0.99,3,0
0.34,0,308.41,243,1,0.84,8,0
1.25,0,799.35,477,1,0.87,4,0
0.1,2,955.09,211,1,0.86,7,0
0.84,1,514.86,244,1,0.78,16,0
0.78,0,356.86,478,1,0.77,23,0
2.82,1,467.61,317,1,0.84,18,0
0.01,0,1177.07,283,1,0.91,12,0
0.18,0,424.12,423,1,0.83,8,0
0.47,0,984.2,80,1,0.91,21,0
2.18,0,499.47,244,1,0.85,17,0
0.07,0,1070.98,84,1,0.88,11,0
0.66,0,1181.36,466,1,0.91,24,0
0.06,0,618.32,427,1,0.86,10,0
0.24,0,1130.64,155,1,0.91,7,0
0.86,0,320.78,244,1,0.87,5,0
0.57,2,293.0,361,1,0.76,20,0
0.31,0,240.39,571,1,0.8,4,0
0.46,1,1016.54,688,1,0.91,9,0
0.26,0,206.48,199,1,0.96,8,0
0.55,0,391.89,663,1,0.81,20,0
0.09,1,440.06,402,1,0.93,9,0
0.52,0,1046.5,692,1,0.8,19,0
0.62,1,943.81,165,1,0.96,10,0
0.44,0,958.72,349,1,0.82,14,0
0.05,0,302.98,642,1,0.99,16,0
0.54,0,253.86,127,1,0.85,5,0
0.83,0,599.15,152,1,0.88,22,0
0.24,0,690.7,654,1,0.87,24,0
0.25,0,1172.91,483,1,0.76,18,0
1.57,1,633.06,49,1,0.99,22,0
0.5,0,1046.2,646,1,0.93,8,0
0.26,0,726.22,490,1,0.88,20,0
0.51,2,964.34,638,1,0.8,19,0
0.17,1,409.59,386,1,0.83,11,0
0.12,2,545.63,72,1,0.96,18,0
1.47,0,269.08,304,1,0.86,14,0
0.53,0,886.2,301,1,0.92,12,0
0.92,0,399.08,401,1,0.86,18,0
0.42,0,1070.21,123,1,0.84,20,0
1.54,0,793.37,699,1,0.98,17,0
1.22,0,629.57,694,1,0.77,3,0
0.3,0,862.0,665,1,0.82,20,0
1.24,1,744.37,112,1,0.76,22,0
0.43,0,311.96,645,1,0.86,5,0
1.16,1,317.25,498,1,0.84,4,0
0.18,2,509.75,456,1,0.91,4,0
0.38,0,1037.99,369,1,0.78,14,0
1.35,0,1051.48,485,1,0.87,5,0
0.14,0,370.14,648,1,0.78,23,0
0.01,1,439.02,598,1,0.76,16,0
0.6,0,1036.88,277,1,1.0,16,0
1.51,0,351.57,535,1,0.89,15,0
0.38,1,1076.08,332,1,0.8,3,0
0.08,0,366.76,221,1,0.91,20,0
0.54,1,935.62,675,1,0.88,5,0
0.07,0,313.0,193,1,0.93,14,0
0.07,0,678.26,201,1,0.86,5,0
0.42,0,1155.89,440,1,0.79,23,0
0.83,0,441.13,380,1,0.92,18,0
1.4,0,1124.55,396,1,0.8,11,0
0.68,0,218.02,504,1,0.85,7,0
2.5,0,890.68,503,1,0.88,5,0
0.05,0,339.19,360,1,0.79,23,0
0.22,2,1063.19,589,1,0.76,8,0
0.31,1,552.05,67,1,0.81,4,0
0.64,1,997.17,380,1,0.91,4,0
1.58,0,340.71,694,1,0.99,6,0
1.78,0,1030.67,206,1,0.84,19,0
0.14,0,969.66,325,1,0.98,22,0
0.66,1,530.64,64,1,0.83,13,0
0.44,0,1171.33,526,1,0.92,20,0
0.16,1,645.37,587,1,0.76,15,0
0.2,0,1077.47,410,1,0.96,5,0
0.16,0,326.79,278,1,0.96,17,0
0.18,0,664.88,650,1,0.94,22,0
0.85,0,965.81,333,1,0.82,24,0
0.88,0,323.15,63,1,0.98,24,0
0.44,1,626.93,409,1,0.82,24,0
0.05,1,752.22,384,1,0.75,24,0
0.57,0,1024.13,408,1,0.9,12,0
0.33,2,675.28,656,1,1.0,12,0
1.74,0,1024.14,539,1,0.76,9,0
0.18,0,753.46,616,1,0.89,11,0
0.76,1,523.42,497,1,0.99,13,0
0.59,0,1069.73,556,1,0.99,14,0
0.95,0,353.0,95,1,0.9,9,0
0.27,0,779.78,152,1,0.87,23,0
2.85,0,1153.25,623,1,0.77,22,0
1.21,1,1023.46,694,1,0.96,17,0
0.04,0,303.79,479,1,0.9,6,0
0.48,1,1118.6,169,1,0.86,7,0
0.05,2,602.71,75,1,0.88,19,0
0.47,1,1016.55,348,1,0.87,17,0
0.68,1,927.63,471,1,0.79,15,0
1.08,1,443.97,615,1,0.77,24,0
0.55,2,658.42,456,1,0.9,3,0
1.08,2,246.27,540,1,0.85,10,0
1.45,0,665.05,694,1,0.87,16,0
0.31,0,639.26,129,1,0.82,11,0
1.11,1,203.85,509,1,0.85,14,0
0.72,1,1058.09,141,1,0.78,22,0
2.74,0,653.93,704,1,0.9,9,0
0.17,1,374.44,176,1,0.87,13,0
0.25,0,947.47,698,1,0.94,19,0
0.1,0,766.62,94,1,0.86,15,0
0.61,0,941.08,315,1,0.94,6,0
1.05,0,573.15,333,1,0.85,4,0
0.02,1,1081.8,193,1,0.89,22,0
1.32,0,506.35,276,1,0.99,6,0
0.52,1,245.27,393,1,0.9,17,0
2.35,0,974.3,218,1,0.89,24,0
1.75,0,1174.15,350,1,0.85,18,0
0.1,0,757.51,415,1,0.77,20,0
0.96,0,226.61,399,1,0.92,9,0
0.3,0,1071.15,714,1,0.93,16,0
1.34,1,1175.85,214,1,0.87,11,0
0.8,0,403.81,187,1,0.91,22,0
0.03,0,463.38,676,1,0.83,17,0
0.14,0,1161.57,560,1,0.84,12,0
0.18,0,565.77,605,1,0.91,10,0
0.41,1,955.36,327,1,0.86,5,0
1.32,1,764.28,683,1,0.79,5,0
1.48,1,559.29,177,1,0.76,12,0
3.35,1,890.92,645,1,0.93,21,0
0.32,0,1152.91,469,1,0.77,11,0
0.75,1,1064.89,88,1,0.95,3,0
0.65,0,1098.08,586,1,0.86,19,0
0.42,0,318.6,542,1,0.9,13,0
0.32,0,1090.67,312,1,0.86,10,0
2.78,0,820.28,377,1,0.89,5,0
1.34,0,788.62,432,1,0.89,22,0
0.36,0,209.11,420,1,0.94,19,0
0.78,0,756.06,238,1,0.78,7,0
0.49,1,1043.91,281,1,0.83,21,0
0.38,0,335.53,84,1,0.9,19,0
0.25,1,200.12,332,1,0.83,10,0
0.53,0,626.7,462,1,0.75,11,0
0.34,0,901.98,457,1,0.95,9,0
1.25,0,847.08,387,1,0.77,8,0
0.04,0,396.43,398,1,0.97,20,0
0.94,0,202.87,680,1,0.76,9,0
0.51,0,340.77,640,1,0.94,13,0
0.02,1,829.81,183,1,0.77,24,0
0.47,0,1195.87,382,1,0.89,8,0
2.07,0,1014.72,451,1,0.91,10,0
0.13,0,989.19,85,1,0.99,22,0
1.13,0,965.58,66,1,0.76,7,0
0.62,1,636.85,95,1,0.88,3,0
0.1,0,635.62,349,1,0.78,9,0
0.72,1,913.9,338,1,0.99,15,0
0.76,0,665.49,383,1,0.95,21,0
1.3,0,233.89,398,1,0.82,13,0
0.28,0,413.44,594,1,0.99,10,0
0.75,0,386.49,282,1,0.98,10,0
0.5,0,888.26,76,1,0.96,4,0
0.23,0,542.18,712,1,0.89,8,0
0.01,0,350.06,704,1,0.84,17,0
1.0,1,320.48,142,1,0.93,13,0
1.61,0,508.45,645,1,0.93,16,0
0.48,1,214.76,600,1,0.95,11,0
0.29,0,1106.68,378,1,0.96,15,0
0.99,0,1116.15,473,1,0.84,23,0
0.03,0,454.03,702,1,0.79,14,0
1.05,0,1064.11,389,1,0.91,9,0
0.09,0,554.59,529,1,0.97,16,0
0.0,0,993.94,109,1,0.79,7,0
0.73,0,781.5,543,1,0.91,16,0
0.35,0,1191.79,646,1,0.97,23,0
0.35,0,759.08,286,1,0.99,20,0
0.24,0,1067.3,502,1,0.78,23,0
0.04,1,489.15,56,1,0.9,8,0
0.46,1,461.14,546,1,0.88,20,0
0.11,1,1141.82,240,1,0.91,12,0
0.35,0,212.45,327,1,0.92,7,0
0.66,0,473.28,114,1,0.77,4,0
0.98,0,522.49,218,1,0.85,7,0
0.77,0,496.89,118,1,0.9,22,0
0.14,0,577.92,208,1,0.91,14,0
2.52,0,694.89,276,1,0.81,15,0
0.82,1,1037.38,267,1,0.8,22,0
2.48,0,479.36,330,1,0.96,21,0
0.77,0,609.66,604,1,0.87,4,0
0.33,0,392.1,559,1,0.89,20,0
0.44,1,569.69,364,1,0.81,16,0
0.93,1,846.46,632,1,0.8,19,0
3.25,0,679.65,643,1,0.92,14,0
0.78,0,524.71,608,1,0.79,14,0
0.43,0,1022.34,350,1,0.79,18,0
3.5,0,562.59,159,1,0.86,13,0
1.92,0,248.07,165,1,0.89,6,0
0.08,2,729.57,522,1,0.8,8,0
0.47,0,814.36,202,1,0.89,10,0
1.99,1,414.57,227,1,0.78,21,0
1.42,0,1015.96,503,1,0.9,15,0
0.75,0,521.98,510,1,0.79,14,0
0.31,0,562.34,80,1,0.77,13,0
0.14,1,231.14,451,1,0.81,23,0
0.38,1,337.47,176,1,0.85,16,0
0.62,0,1184.76,302,1,0.84,3,0
0.62,0,1133.51,302,1,0.87,15,0
0.08,0,433.21,413,1,0.78,22,0
0.12,0,679.93,273,1,0.87,17,0
0.63,0,1140.87,463,1,0.78,5,0
0.09,1,680.92,466,1,0.86,10,0
0.46,0,1154.01,461,1,0.89,10,0
0.39,1,621.62,126,1,1.0,15,0
0.82,1,753.53,705,1,0.88,3,0
2.53,1,379.68,718,1,0.77,24,0
0.06,1,1178.37,700,1,0.88,8,0
0.19,1,309.46,208,1,0.86,16,0
1.85,0,940.9,453,1,0.99,15,0
0.04,1,357.97,628,1,0.95,3,0
1.23,1,516.91,478,0,0.78,4,0
0.17,0,586.16,322,1,0.89,24,0
0.24,0,658.5,670,1,0.95,12,0
1.18,0,539.67,129,1,0.99,7,0
0.99,0,942.59,460,1,0.95,3,0
0.26,0,687.92,648,1,0.88,20,0
1.08,0,793.81,256,1,0.96,6,0
0.25,0,366.58,123,1,0.8,16,0
0.72,0,659.94,546,1,0.82,19,0
1.8,0,203.57,163,1,0.99,7,0
0.15,2,1143.83,446,1,0.95,11,0
0.46,1,595.99,206,1,0.97,23,0
0.59,0,506.7,608,1,0.82,24,0
0.12,1,893.15,341,1,0.99,12,0
3.32,1,214.22,673,1,0.98,12,0
1.54,0,384.08,565,1,0.93,9,0
1.62,0,438.48,206,1,0.91,8,0
0.39,0,493.69,272,1,0.96,20,0
1.85,0,385.7,238,1,0.94,23,0
0.6,1,462.25,713,1,0.78,20,0
0.09,0,262.56,618,1,0.9,18,0
0.54,0,819.92,72,1,0.86,6,0
0.37,0,521.63,469,1,0.78,19,0
2.06,1,937.2,495,1,0.87,8,0
0.38,0,781.22,315,1,0.93,9,0
1.85,0,1064.61,543,1,0.76,8,0
0.49,0,432.73,670,1,0.96,4,0
0.75,0,921.26,58,1,0.85,10,0
0.12,0,980.76,297,0,0.95,7,0
0.1,0,292.45,230,1,0.8,5,0
0.32,1,669.08,664,1,0.82,11,0
0.93,0,792.3,331,1,0.91,20,0
0.07,1,796.72,542,1,0.92,11,0
0.38,0,288.45,94,1,0.9,15,0
0.63,0,668.1,269,1,0.85,16,0
2.29,0,599.72,560,1,0.96,24,0
1.27,0,567.26,212,1,0.92,6,0
0.56,0,285.59,378,1,0.96,8,0
1.01,0,881.88,315,1,0.93,24,0
0.41,0,815.48,196,1,0.99,17,0
1.53,0,344.17,170,1,0.76,9,0
1.14,0,1178.43,230,1,0.79,3,0
1.46,1,1042.05,670,1,0.79,8,0
0.33,0,1123.13,172,1,0.87,8,0
0.45,2,960.47,610,1,0.81,21,0
0.02,1,812.69,280,1,0.89,4,0
1.53,0,1119.62,582,1,0.83,14,0
1.37,0,741.53,584,1,0.75,12,0
0.39,0,587.06,376,1,0.89,6,0
0.12,0,924.65,398,1,0.76,7,0
0.32,0,323.06,430,1,0.95,6,0
0.02,0,511.66,278,1,0.99,21,0
1.04,0,635.87,412,1,0.76,12,0
0.96,0,539.58,683,1,0.83,6,0
0.55,1,368.0,69,1,0.82,8,0
0.52,0,819.25,430,1,0.86,5,0
0.03,0,890.84,191,1,0.88,14,0
0.68,0,1130.35,520,1,0.85,20,0
0.7,0,325.99,664,1,0.86,14,0
0.63,0,864.5,301,1,0.98,7,0
1.32,0,860.06,211,1,0.84,16,0
1.4,1,422.68,198,1,0.9,13,0
2.25,1,290.78,278,1,0.79,3,0
