rainfall,aqi,temperature,civic_event,label
0.47,31.94,22.48,0,0
2.12,58.02,28.9,0,0
1.75,34.52,24.7,0,0
28.79,205.58,32.6,1,4
10.08,54.47,34.73,0,1
24.84,92.98,20.54,0,3
2.7,96.04,32.17,0,0
1.12,30.52,30.48,0,0
13.19,228.85,30.79,0,2
2.73,86.72,27.98,0,0
1.66,65.71,25.3,0,0
1.86,32.53,34.98,0,0
1.66,62.1,27.87,0,0
1.7,22.74,27.03,0,0
0.37,93.67,31.1,0,0
2.85,33.36,25.06,0,0
2.18,63.52,22.76,0,0
1.6,70.38,32.7,0,0
1.56,95.84,42.19,0,1
0.2,35.33,24.31,0,0
0.79,172.34,27.45,0,1
1.26,48.19,29.2,0,0
1.74,16.86,25.35,0,0
1.84,201.16,25.74,0,1
36.76,368.24,25.95,0,4
1.02,192.86,34.97,0,1
16.6,83.31,27.79,0,3
9.14,213.5,30.32,0,2
1.57,29.96,42.0,0,1
7.38,224.32,32.43,0,2
7.76,209.62,34.46,0,2
1.87,73.76,28.48,0,0
1.81,193.14,26.75,0,1
0.53,43.5,28.21,0,0
1.43,45.97,29.22,0,0
1.3,56.7,34.84,0,0
0.27,53.18,41.29,0,1
1.69,89.76,33.19,0,0
0.44,56.75,26.78,0,0
10.46,161.61,32.28,0,2
2.38,85.98,29.28,1,3
12.9,217.83,37.5,0,2
10.15,209.34,34.03,0,2
1.43,60.46,42.15,0,1
0.5,57.38,31.69,0,0
18.67,71.24,23.28,0,3
1.27,187.22,27.08,0,1
10.32,217.36,37.36,0,2
2.69,32.03,24.89,0,0
7.72,196.38,31.71,0,2
6.25,53.06,32.31,0,1
0.13,65.27,23.56,0,0
2.97,48.83,32.96,0,0
1.67,78.67,27.38,1,3
0.33,65.93,27.16,0,0
25.41,65.88,23.34,0,3
1.57,24.24,32.98,0,0
0.89,62.3,42.65,0,1
0.69,63.48,34.19,0,0
9.16,237.04,32.74,0,2
22.85,370.23,26.98,0,4
1.19,56.71,30.2,0,0
2.89,26.5,28.18,0,0
2.08,96.86,25.75,0,0
20.34,477.36,27.42,0,4
1.52,64.91,29.2,0,0
0.88,54.92,41.54,0,1
1.54,80.83,23.9,0,0
0.0,405.53,22.14,0,3
2.96,60.95,24.48,0,0
2.58,65.99,23.5,0,0
1.24,67.19,25.23,1,3
1.19,53.06,31.55,0,0
0.59,48.84,22.9,0,0
24.81,192.33,32.55,1,4
13.69,220.45,36.59,0,2
1.95,60.49,41.01,0,1
2.04,32.98,28.22,0,0
1.83,52.48,41.45,0,1
2.63,95.04,33.53,0,0
1.16,97.87,26.21,0,0
0.85,96.94,27.41,0,0
27.35,392.13,25.66,0,4
0.87,200.0,34.73,0,1
0.57,69.42,33.65,0,0
10.26,219.64,31.66,0,2
1.71,84.13,27.63,0,0
1.03,90.75,41.96,0,1
2.4,67.51,31.5,0,0
0.0,365.89,28.58,0,3
1.11,93.57,32.35,0,0
0.52,79.65,42.55,0,1
0.0,115.2,43.35,0,1
9.2,67.55,26.21,0,1
1.9,30.26,42.07,0,1
0.85,67.83,25.94,0,0
2.24,63.87,28.73,0,0
2.11,51.04,33.68,0,0
1.61,189.13,27.79,0,1
1.69,51.11,27.17,0,0
2.01,59.11,28.98,0,0
1.84,49.3,32.0,0,0
0.04,174.3,29.99,0,1
1.03,57.26,27.81,0,0
11.35,22.33,27.59,0,1
9.94,42.65,28.47,0,1
0.0,133.59,42.1,0,1
2.21,91.54,30.54,0,0
0.0,409.19,20.48,0,3
1.49,214.09,30.21,0,1
1.82,178.02,25.25,0,1
2.0,53.53,30.65,1,3
0.61,219.66,26.85,0,1
1.85,44.34,28.17,0,0
38.4,320.67,26.07,0,4
0.51,101.56,29.46,1,3
1.98,76.85,34.12,0,0
2.09,44.09,31.33,0,0
1.37,30.61,26.37,0,0
8.63,214.79,33.97,0,2
1.16,88.88,34.86,0,0
0.16,26.07,32.25,0,0
9.0,191.3,36.49,0,2
2.27,40.09,31.42,0,0
9.84,21.44,32.9,0,1
3.94,113.41,30.27,1,3
0.51,87.58,34.1,0,0
2.2,67.96,25.94,0,0
2.03,23.61,24.46,0,0
2.71,63.78,28.8,0,0
13.92,173.78,31.06,0,2
2.71,49.97,32.32,0,0
1.48,25.83,27.37,0,0
1.65,81.33,34.2,0,0
2.23,90.28,23.62,0,0
8.55,65.77,25.38,0,1
1.4,61.09,24.06,0,0
2.18,81.77,22.98,0,0
25.16,348.88,22.17,0,4
1.17,205.65,31.62,0,1
0.57,17.14,30.47,0,0
0.71,207.0,29.34,0,1
11.44,162.65,37.75,0,2
0.83,83.79,24.47,0,0
2.59,69.17,25.93,0,0
0.81,194.3,34.88,0,1
22.66,82.71,25.11,1,4
12.66,176.33,34.75,0,2
2.2,50.74,32.7,0,0
22.52,238.75,30.9,1,4
7.14,213.64,33.11,0,2
0.16,217.04,33.88,0,1
0.74,68.42,22.56,0,0
0.09,217.53,28.23,0,1
11.16,205.73,34.63,0,2
2.66,93.13,30.38,0,0
27.4,88.76,23.73,0,3
11.0,230.7,37.24,0,2
1.4,203.53,32.27,0,1
8.01,37.55,28.17,0,1
17.85,80.61,25.16,1,4
0.34,62.08,27.83,0,0
1.51,196.63,27.21,0,1
2.15,72.83,29.31,0,0
21.71,140.45,34.85,1,4
1.23,27.86,31.44,0,0
2.65,46.83,33.92,0,0
16.95,172.23,33.6,1,4
1.94,98.43,24.52,0,0
0.07,34.71,32.13,0,0
12.49,194.03,35.89,0,2
1.71,75.38,41.31,0,1
11.92,21.31,32.17,0,1
16.17,119.28,20.31,0,3
2.77,73.75,30.43,0,0
9.22,202.44,35.04,0,2
2.39,42.35,22.93,0,0
1.23,92.18,27.4,0,0
0.59,61.28,24.31,0,0
2.14,81.67,33.06,0,0
0.63,69.64,34.2,1,3
6.32,26.67,25.56,0,1
43.94,375.2,25.38,0,4
8.38,215.5,30.07,0,2
1.05,94.29,34.82,0,0
1.83,78.34,24.48,0,0
8.8,173.51,36.81,0,2
1.81,209.03,32.75,0,1
0.95,45.83,42.45,0,1
0.0,311.85,22.55,0,3
0.41,17.73,24.95,0,0
0.14,26.67,24.63,0,0
1.75,42.39,23.84,0,0
23.09,199.39,34.04,1,4
1.2,181.11,31.71,0,1
9.55,161.19,32.79,0,2
0.47,46.11,24.7,0,0
19.83,448.73,21.44,0,4
0.49,47.07,27.49,0,0
21.41,127.44,20.12,0,3
13.64,165.11,36.93,0,2
2.63,41.2,34.77,0,0
1.61,54.93,41.52,0,1
0.99,67.47,32.9,0,0
1.69,89.2,41.65,0,1
1.01,84.58,32.37,0,0
2.85,39.27,30.14,0,0
1.26,195.45,28.8,0,1
1.61,70.81,41.39,0,1
10.52,162.98,33.16,0,2
2.4,34.89,27.88,0,0
2.64,52.73,33.14,0,0
9.24,217.02,33.75,0,2
2.0,80.82,30.95,0,0
1.62,47.73,42.23,0,1
2.22,96.0,27.84,0,0
1.59,96.98,41.53,0,1
0.95,93.05,41.41,0,1
0.0,329.71,22.37,0,3
0.88,79.52,26.4,0,0
18.56,150.49,32.23,1,4
0.0,383.92,20.12,0,3
25.86,73.65,26.12,0,3
1.02,89.65,26.21,0,0
2.37,23.04,26.05,0,0
13.7,222.63,31.38,0,2
0.0,106.57,44.2,0,1
11.41,92.86,27.85,0,1
2.79,40.53,23.56,0,0
0.85,21.85,34.79,0,0
0.82,50.69,27.39,0,0
2.72,20.12,34.24,0,0
11.88,172.63,32.63,0,2
1.96,43.89,29.17,0,0
10.87,165.72,30.49,0,2
24.7,97.71,24.54,0,3
0.83,75.22,34.51,0,0
38.22,394.78,21.53,0,4
2.12,37.21,27.73,0,0
0.37,36.25,23.1,0,0
1.7,78.31,22.43,0,0
7.51,28.52,28.96,0,1
2.5,57.6,30.06,0,0
2.25,97.75,28.27,0,0
24.49,402.65,25.86,0,4
0.73,190.47,32.03,0,1
0.0,134.53,41.41,0,1
23.12,75.07,21.64,0,3
10.39,54.52,33.46,0,1
0.14,55.0,42.96,0,1
1.1,72.23,24.07,0,0
0.65,72.32,42.56,0,1
0.28,81.19,27.68,0,0
12.74,220.54,36.48,0,2
1.63,219.97,29.57,0,1
38.67,332.92,26.06,0,4
0.8,64.51,25.32,0,0
0.81,216.61,34.42,0,1
1.3,99.16,23.67,0,0
1.62,32.97,41.44,0,1
0.5,36.91,28.87,0,0
9.66,195.7,36.34,0,2
11.05,92.58,27.86,0,1
9.17,183.65,31.54,0,2
8.83,197.19,36.5,0,2
12.99,172.89,34.7,0,2
0.0,315.02,23.07,0,3
0.3,20.55,22.21,0,0
0.09,185.23,29.4,0,1
1.84,29.95,42.51,0,1
0.96,17.11,29.23,0,0
1.81,63.82,42.9,0,1
1.03,85.54,29.19,0,0
1.61,58.66,42.93,0,1
0.4,44.63,24.69,0,0
13.63,167.19,31.94,0,2
1.53,53.42,31.45,0,0
11.01,207.28,36.74,0,2
0.04,33.11,22.46,0,0
1.07,23.38,31.82,0,0
6.87,33.46,25.56,0,1
1.85,53.0,23.63,0,0
25.32,120.33,22.15,0,3
1.92,89.98,30.03,0,0
23.41,232.51,26.25,1,4
7.8,187.05,35.47,0,2
1.04,191.73,25.57,0,1
0.02,59.58,28.03,0,0
44.85,411.05,22.63,0,4
0.71,45.12,42.25,0,1
1.21,38.21,26.48,0,0
13.46,206.65,30.08,0,2
2.86,92.38,23.5,0,0
0.0,56.23,42.48,0,1
1.59,48.48,23.77,0,0
0.0,399.24,23.31,0,3
7.03,73.22,33.05,0,1
1.43,29.08,41.5,0,1
1.6,97.96,33.22,0,0
0.7,52.03,34.67,0,0
2.87,31.19,33.52,0,0
0.0,398.45,21.97,0,3
25.55,229.42,29.9,1,4
2.18,37.94,32.66,0,0
0.13,61.88,32.87,0,0
13.93,171.26,32.76,0,2
0.17,18.66,22.38,0,0
2.53,75.32,27.81,0,0
0.05,29.91,27.03,0,0
0.78,99.76,27.82,0,0
1.22,38.75,26.58,0,0
0.0,56.79,28.36,0,0
2.5,31.3,32.01,0,0
0.84,37.94,24.98,0,0
35.49,455.75,20.2,0,4
0.0,393.79,22.84,0,3
26.44,126.12,22.59,0,3
9.2,227.65,33.5,0,2
2.32,57.17,25.47,0,0
20.29,443.58,27.82,0,4
0.0,55.92,42.35,0,1
1.38,25.91,42.58,0,1
8.5,183.88,36.46,0,2
12.7,185.78,37.76,0,2
7.46,198.22,35.32,0,2
2.71,79.1,23.06,0,0
0.0,391.0,22.69,0,3
2.71,49.91,30.88,0,0
12.58,178.11,35.25,0,2
7.84,171.3,32.91,0,2
2.39,69.63,28.47,0,0
0.34,58.95,33.48,0,0
13.17,205.21,31.77,0,2
2.82,55.39,33.17,0,0
12.83,176.85,35.44,0,2
10.87,226.82,37.91,0,2
1.36,79.08,31.43,0,0
6.07,94.77,33.64,0,1
1.34,59.55,28.22,0,0
10.42,175.11,30.94,0,2
0.0,375.0,28.84,0,3
1.45,24.53,34.89,0,0
36.67,396.04,22.99,0,4
13.48,233.16,34.41,0,2
0.22,49.23,31.53,0,0
0.2,212.63,29.0,0,1
0.19,108.48,34.34,1,3
12.63,229.7,34.18,0,2
9.01,179.98,34.87,0,2
9.78,192.02,37.63,0,2
1.73,71.17,41.02,0,1
1.25,70.49,27.14,0,0
0.0,356.74,28.97,0,3
1.54,202.74,32.14,0,1
1.32,72.29,42.13,0,1
0.0,135.55,42.62,0,1
30.25,461.94,26.65,0,4
0.67,51.03,22.61,0,0
0.77,33.24,27.16,0,0
1.2,61.1,29.34,1,3
0.13,98.14,34.63,0,0
2.46,33.99,27.42,0,0
10.85,225.69,37.84,0,2
2.77,50.14,27.3,0,0
2.5,79.51,33.62,0,0
0.65,40.8,28.89,0,0
0.9,30.53,24.07,0,0
8.15,54.71,29.66,0,1
0.28,37.15,23.5,0,0
0.07,44.81,24.77,0,0
2.56,60.1,32.68,1,3
3.39,107.85,34.41,1,3
0.13,23.84,29.43,0,0
0.05,76.03,42.54,0,1
25.97,73.05,21.55,0,3
2.02,85.32,32.75,1,3
1.36,59.54,24.79,0,0
6.01,95.19,34.48,0,1
9.96,174.29,33.94,0,2
11.24,202.2,36.8,0,2
2.58,52.35,22.03,0,0
13.14,198.75,33.64,0,2
0.0,346.11,27.17,0,3
7.97,206.25,36.46,0,2
1.52,86.39,34.39,0,0
9.29,208.39,30.22,0,2
1.94,64.5,41.69,0,1
0.0,372.61,24.09,0,3
1.62,49.25,42.58,0,1
0.84,49.23,27.26,0,0
1.96,63.79,28.77,0,0
22.77,78.89,26.95,0,3
0.45,216.57,29.93,0,1
1.91,75.11,29.86,0,0
2.21,94.01,34.38,0,0
12.88,238.29,30.35,0,2
0.28,200.04,31.37,0,1
11.87,177.37,32.33,0,2
2.76,59.35,34.69,0,0
1.66,82.09,32.36,0,0
0.86,23.31,32.47,0,0
7.57,180.59,33.6,0,2
11.17,65.38,32.8,0,1
0.99,90.82,29.76,0,0
2.54,52.62,27.2,0,0
2.04,60.27,26.05,0,0
0.55,34.11,33.25,0,0
0.16,51.07,42.56,0,1
0.0,73.21,43.19,0,1
9.83,165.47,32.97,0,2
2.07,83.81,27.15,0,0
1.3,193.26,31.29,0,1
0.0,400.48,22.35,0,3
11.21,164.01,31.47,0,2
2.66,55.87,33.88,0,0
0.02,95.6,31.41,0,0
13.41,238.76,30.78,0,2
0.57,84.57,26.62,0,0
11.79,64.22,30.55,0,1
0.96,173.16,25.01,0,1
29.13,33.78,27.67,0,3
39.6,463.86,27.84,0,4
2.31,77.4,25.74,0,0
0.53,92.63,33.43,0,0
6.97,68.66,29.45,0,1
9.04,225.73,33.11,0,2
7.14,191.45,31.76,0,2
2.84,28.51,23.14,0,0
0.37,20.27,30.9,0,0
0.59,69.87,27.8,0,0
2.91,65.99,29.98,0,0
0.0,326.47,21.56,0,3
1.14,90.08,22.43,0,0
27.05,182.54,32.92,1,4
0.99,23.64,34.8,0,0
29.03,73.16,27.36,0,3
2.08,70.05,27.2,0,0
21.66,126.48,21.17,0,3
1.45,92.95,30.12,1,3
0.37,80.38,41.89,0,1
17.24,133.58,34.31,1,4
3.89,81.21,34.14,1,3
0.07,82.58,33.52,0,0
1.66,85.68,28.0,0,0
11.47,217.66,37.35,0,2
2.31,75.58,27.71,0,0
2.64,32.4,26.14,0,0
22.67,388.6,22.22,0,4
19.1,197.49,34.67,1,4
1.56,119.29,33.12,1,3
0.0,62.01,43.9,0,1
10.14,183.36,31.77,0,2
27.15,183.84,30.32,1,4
9.27,32.98,29.37,0,1
27.31,371.39,25.55,0,4
2.58,33.07,32.34,0,0
0.0,134.64,42.86,0,1
0.74,25.74,24.2,0,0
28.13,73.23,22.26,0,3
0.0,366.72,25.26,0,3
2.91,22.18,31.1,0,0
1.33,91.47,31.99,0,0
1.65,29.05,34.43,0,0
9.62,185.43,31.91,0,2
10.04,186.42,37.24,0,2
0.79,44.31,25.38,0,0
0.49,75.77,42.22,0,1
6.75,39.17,28.46,0,1
8.53,213.6,30.46,0,2
12.56,208.38,31.61,0,2
2.42,51.72,25.32,0,0
26.98,227.21,28.24,1,4
1.87,46.82,34.82,0,0
0.69,201.49,28.9,0,1
6.01,64.88,27.92,0,1
2.52,17.55,30.99,0,0
8.29,97.31,32.93,0,1
8.43,178.99,30.23,0,2
0.82,23.4,42.51,0,1
28.86,85.83,25.95,1,4
18.97,85.32,22.61,0,3
2.74,82.53,34.01,0,0
10.15,199.46,31.64,0,2
0.49,55.24,30.4,0,0
2.83,69.98,24.86,0,0
0.51,97.78,25.08,0,0
0.49,44.27,30.0,0,0
0.48,98.0,30.03,0,0
1.65,35.48,34.66,0,0
0.43,67.1,23.78,0,0
0.51,214.52,30.21,0,1
0.0,322.33,23.27,0,3
0.0,94.53,44.02,0,1
0.34,73.06,42.46,0,1
12.0,188.93,30.01,0,2
0.12,199.1,34.85,0,1
8.78,199.47,30.4,0,2
0.95,188.78,25.37,0,1
1.89,165.19,27.79,0,1
10.78,235.94,33.11,0,2
0.06,63.01,31.78,0,0
13.38,178.33,35.91,0,2
0.0,115.37,43.77,0,1
24.36,127.95,31.83,1,4
8.37,195.49,33.38,0,2
11.67,198.1,35.22,0,2
0.7,35.39,22.38,0,0
13.9,184.72,37.44,0,2
6.26,71.28,25.18,0,1
1.39,28.45,34.85,0,0
12.96,238.33,35.4,0,2
2.27,64.67,25.48,0,0
1.82,48.61,25.06,0,0
0.7,89.38,31.02,0,0
2.84,48.06,29.47,0,0
6.47,33.64,32.88,0,1
0.27,76.11,32.43,0,0
0.15,205.85,29.24,0,1
7.94,237.84,37.05,0,2
2.68,91.07,28.0,0,0
29.67,134.01,27.75,1,4
6.56,31.25,34.72,0,1
13.12,237.69,33.03,0,2
8.29,204.13,31.68,0,2
0.3,64.28,34.35,0,0
1.51,73.4,28.45,0,0
21.71,129.35,27.02,0,3
0.0,328.53,28.05,0,3
1.33,96.13,29.97,0,0
10.44,35.39,28.21,0,1
2.33,56.21,24.16,0,0
2.96,75.72,30.84,0,0
1.55,79.29,42.41,0,1
10.61,234.12,37.13,0,2
2.41,90.74,30.04,0,0
1.47,218.38,32.76,0,1
6.74,53.31,27.98,0,1
20.33,112.95,24.56,0,3
3.17,84.5,33.35,1,3
0.34,52.25,24.36,0,0
1.76,49.33,33.26,0,0
2.99,45.55,28.7,0,0
1.74,96.71,31.74,0,0
1.33,51.16,23.27,0,0
0.0,349.55,20.45,0,3
1.8,22.99,41.8,0,1
9.16,195.68,34.52,0,2
36.87,350.52,25.54,0,4
2.32,28.52,22.3,0,0
2.9,60.73,29.89,0,0
27.92,411.06,20.04,0,4
7.29,84.46,30.59,0,1
11.39,197.03,35.83,0,2
29.86,70.54,27.35,0,3
7.3,80.98,33.35,0,1
0.0,88.48,42.02,0,1
0.69,44.1,41.57,0,1
11.55,176.34,35.53,0,2
0.61,78.52,26.72,0,0
7.75,62.68,27.29,0,1
0.35,29.36,41.06,0,1
0.85,39.83,34.77,0,0
1.38,98.84,22.4,0,0
9.6,232.49,37.3,0,2
0.66,51.38,34.55,0,0
2.94,84.65,25.48,0,0
7.35,203.85,32.86,0,2
1.42,57.73,30.53,0,0
13.83,221.02,35.5,0,2
0.35,20.0,28.21,0,0
11.55,236.23,33.06,0,2
0.25,185.39,30.43,0,1
2.36,32.01,29.29,0,0
1.64,209.07,26.15,0,1
1.69,176.48,29.26,0,1
9.45,60.92,34.15,0,1
1.79,86.88,29.77,0,0
1.67,51.72,34.8,0,0
2.3,17.04,29.85,0,0
2.73,60.84,32.76,0,0
10.13,187.02,30.94,0,2
0.0,34.2,29.29,0,0
23.14,448.54,20.9,0,4
0.31,35.65,30.15,0,0
0.0,387.08,23.87,0,3
2.07,95.11,29.55,0,0
1.87,51.46,27.19,0,0
3.75,100.54,29.59,1,3
0.28,84.78,24.2,0,0
1.22,79.45,41.03,0,1
0.78,59.31,28.06,0,0
2.28,73.42,32.67,0,0
1.52,66.32,22.64,0,0
25.32,154.55,30.41,1,4
1.34,52.07,25.75,0,0
9.87,204.14,31.25,0,2
1.06,179.12,28.52,0,1
2.62,61.63,32.49,0,0
0.0,108.13,41.99,0,1
0.48,18.99,27.55,0,0
2.07,96.75,22.96,0,0
16.94,53.7,27.52,0,3
1.77,70.18,33.4,0,0
2.67,48.29,33.98,0,0
0.31,19.43,34.57,0,0
1.62,59.79,27.22,0,0
1.43,23.46,32.28,0,0
0.73,42.05,29.95,0,0
8.07,207.41,33.38,0,2
3.27,112.76,26.42,1,3
16.78,199.19,30.8,1,4
0.64,34.61,31.52,0,0
0.09,195.66,32.75,0,1
0.53,26.17,42.44,0,1
0.0,412.16,22.44,0,3
13.79,177.6,33.7,0,2
23.01,470.1,20.93,0,4
2.99,63.96,29.62,0,0
0.0,85.53,44.18,0,1
2.7,32.43,30.74,0,0
7.78,203.52,30.1,0,2
25.51,244.95,27.88,1,4
0.0,63.37,42.89,0,1
12.6,161.28,32.27,0,2
19.69,104.11,24.84,0,3
2.85,58.59,32.33,0,0
8.61,21.55,25.08,0,1
1.54,96.23,34.64,0,0
1.12,215.44,32.57,0,1
0.53,18.25,22.9,0,0
2.18,35.77,27.1,0,0
1.77,90.9,34.78,0,0
7.7,37.89,27.62,0,1
0.19,60.9,22.23,0,0
12.37,191.98,37.77,0,2
7.86,238.39,36.76,0,2
11.57,208.38,37.92,0,2
1.24,23.56,41.77,0,1
2.56,30.33,30.37,0,0
2.85,60.01,31.21,0,0
11.41,70.18,30.1,0,1
9.01,45.95,25.51,0,1
0.81,36.37,42.22,0,1
0.0,68.89,41.07,0,1
1.76,69.0,33.24,0,0
2.86,59.36,25.19,0,0
0.17,24.36,33.47,0,0
0.17,65.85,26.98,0,0
0.36,18.75,33.25,0,0
0.33,32.02,23.34,0,0
0.71,218.65,27.12,0,1
1.21,64.33,41.96,0,1
1.01,188.74,28.19,0,1
1.34,83.26,25.22,0,0
20.21,117.24,23.64,0,3
12.78,184.1,35.12,0,2
0.94,178.31,28.1,0,1
1.87,199.0,29.43,0,1
1.89,16.51,30.84,0,0
1.97,49.5,30.61,0,0
0.35,36.03,27.35,0,0
0.25,42.63,31.17,0,0
0.2,93.93,42.96,0,1
2.25,36.31,32.83,0,0
1.31,65.67,33.08,0,0
29.73,67.73,22.53,0,3
20.48,150.59,34.85,1,4
2.6,86.61,25.41,0,0
25.98,105.55,27.23,0,3
1.09,188.91,33.79,0,1
1.71,89.99,26.46,0,0
10.6,172.62,30.32,0,2
8.83,225.26,31.51,0,2
0.32,25.0,42.92,0,1
0.0,321.71,28.28,0,3
2.7,98.12,23.72,0,0
2.69,91.4,29.61,0,0
22.51,94.66,21.04,0,3
2.9,82.61,30.8,0,0
0.0,410.07,27.84,0,3
1.03,99.62,27.07,0,0
7.7,184.87,37.06,0,2
1.61,212.36,28.06,0,1
0.68,71.67,28.79,0,0
0.78,178.61,33.64,0,1
10.01,210.44,30.38,0,2
1.25,61.94,42.6,0,1
2.27,58.02,23.61,0,0
11.54,166.59,33.6,0,2
0.28,70.43,42.5,0,1
44.5,479.92,24.01,0,4
0.86,185.0,28.44,0,1
1.14,16.25,28.62,0,0
0.0,102.13,43.75,0,1
1.88,84.45,28.15,0,0
0.54,85.09,32.35,0,0
9.75,206.66,30.99,0,2
1.31,18.7,23.35,0,0
0.44,68.92,31.77,1,3
1.57,58.17,32.84,0,0
1.84,79.46,42.87,0,1
0.33,31.32,24.8,0,0
3.64,78.92,31.31,1,3
27.95,168.82,30.66,1,4
1.68,82.37,25.96,0,0
1.75,69.05,24.63,0,0
0.46,93.32,24.77,0,0
2.52,83.27,27.93,0,0
10.15,177.96,33.41,0,2
